CLIENTNUM,true_churn,score_churn,pred_label
716451183,0,0.0025,0
718621608,1,0.8375,1
715085733,0,0.02,0
788977833,0,0.08,0
720272958,1,0.84,1
708421833,0,0.07,0
709173108,1,0.8425,1
709879458,0,0.17,0
715120608,0,0.105,0
770632758,0,0.1325,0
779078733,0,0.0075,0
771742533,0,0.1,0
720250158,0,0.005,0
716458983,0,0.0025,0
713747733,0,0.03,0
712270158,0,0.0025,0
789562383,0,0.1275,0
754897008,0,0.21,0
819700533,0,0.06,0
712890408,0,0.0,0
720248208,0,0.0025,0
779749908,0,0.2025,0
717401883,0,0.0,0
721509558,0,0.0075,0
710572458,0,0.1475,0
714576183,0,0.0375,0
721425558,0,0.325,0
711109908,0,0.05,0
715203108,0,0.11,0
710027508,0,0.015,0
787464408,0,0.1175,0
783542133,0,0.02,0
708330858,1,0.83,1
714426783,0,0.0475,0
712701333,0,0.015,0
709494483,0,0.0075,0
773373108,0,0.0125,0
715812258,0,0.005,0
778286433,0,0.0125,0
789270033,0,0.2275,0
711569433,0,0.0325,0
720214833,0,0.01,0
709346133,0,0.01,0
788194458,0,0.005,0
720779733,0,0.005,0
717424458,0,0.0125,0
708820308,0,0.0175,0
710558058,0,0.045,0
770590758,0,0.0375,0
718490658,0,0.0175,0
711985833,0,0.01,0
708967608,0,0.045,0
718505958,0,0.0225,0
715024233,0,0.0025,0
779249583,0,0.0275,0
709278258,1,0.79,1
778928283,0,0.0125,0
712299858,0,0.0025,0
799224108,0,0.01,0
809976033,0,0.0,0
716203308,0,0.0325,0
714871683,1,0.9325,1
716139933,0,0.0,0
716984658,0,0.14,0
713086008,0,0.0125,0
713773458,0,0.0075,0
719242533,0,0.075,0
772712658,0,0.005,0
788868858,0,0.0275,0
811898133,0,0.04,0
788808633,0,0.01,0
779804208,0,0.03,0
781391058,0,0.0925,0
790134408,0,0.005,0
788853258,0,0.0025,0
711857733,0,0.0125,0
822969858,0,0.0025,0
719554758,0,0.0225,0
711643458,0,0.0875,0
788830683,0,0.005,0
807030858,0,0.0325,0
793059108,0,0.115,0
716568708,0,0.2175,0
828281733,0,0.025,0
717229158,0,0.0425,0
715915458,0,0.0025,0
819129858,0,0.01,0
713441958,0,0.0,0
719091333,0,0.07,0
708666258,0,0.01,0
714914583,0,0.01,0
714363858,0,0.0925,0
721347408,0,0.0275,0
809608533,0,0.005,0
772047183,0,0.0025,0
714217908,0,0.0225,0
714819183,0,0.0,0
716455683,0,0.0425,0
710865633,0,0.0625,0
752952108,0,0.005,0
712595433,0,0.0025,0
714982383,0,0.0025,0
813814008,0,0.0025,0
794545983,0,0.0175,0
708288108,1,0.85,1
715585158,0,0.015,0
810449883,0,0.025,0
789863208,0,0.03,0
715022133,0,0.0025,0
712506708,0,0.04,0
715699983,0,0.005,0
818942433,0,0.0125,0
712459233,0,0.005,0
716545383,0,0.0075,0
721144383,0,0.0125,0
821837958,0,0.0125,0
804359133,0,0.0075,0
713308683,0,0.01,0
788780958,0,0.075,0
717354558,1,0.83,1
798473808,0,0.1275,0
712372158,0,0.005,0
715192308,0,0.0075,0
708813033,0,0.02,0
714639783,1,0.9525,1
709311633,0,0.0925,0
709470858,0,0.0075,0
717292758,0,0.1775,0
779241783,0,0.0125,0
715205358,0,0.0,0
778871508,0,0.005,0
779462433,0,0.0675,0
710147958,0,0.0025,0
709864833,0,0.025,0
778868958,1,0.71,1
717276708,0,0.025,0
710004933,0,0.01,0
753606108,0,0.1975,0
710940183,1,0.82,1
718927533,0,0.0075,0
719337408,0,0.0675,0
772308408,0,0.085,0
712981383,0,0.0425,0
790099758,0,0.075,0
709547658,1,0.77,1
778770783,0,0.0175,0
713134458,0,0.17,0
712159083,1,0.97,1
713639958,0,0.0225,0
771180033,0,0.005,0
717916758,0,0.01,0
711089733,0,0.175,0
716988633,0,0.0475,0
779031033,0,0.0075,0
716302383,0,0.0075,0
718281408,0,0.005,0
721333233,0,0.01,0
794496033,0,0.005,0
710519433,0,0.0475,0
814995933,0,0.0175,0
721469433,0,0.0,0
788386908,0,0.0075,0
717198633,0,0.0125,0
767695083,0,0.1925,0
711791583,1,0.9375,1
712315683,1,0.705,1
710038008,0,0.125,0
789129033,0,0.0125,0
718349058,0,0.035,0
789842283,1,0.9325,1
714513033,0,0.1025,0
714717483,0,0.05,0
714900408,0,0.1075,0
719418933,1,0.9875,1
720115683,0,0.0,0
779504058,0,0.005,0
795979833,0,0.02,0
717392358,0,0.0025,0
718640508,0,0.01,0
803366358,0,0.0075,0
709230708,0,0.0875,0
781794708,1,0.7625,1
801383808,0,0.0075,0
710677608,0,0.005,0
708217758,0,0.0125,0
714272658,1,0.8825,1
717469158,0,0.0025,0
711864783,0,0.0025,0
719407983,0,0.0175,0
710665533,0,0.0175,0
716804283,0,0.01,0
767294658,1,0.945,1
709122483,0,0.0075,0
708241233,1,0.865,1
717860358,0,0.0525,0
789337233,0,0.055,0
720902133,0,0.07,0
721043058,0,0.0,0
711870333,0,0.01,0
708398283,0,0.03,0
715878183,0,0.0125,0
719451483,0,0.0025,0
709110633,0,0.0175,0
721059033,0,0.035,0
779912283,0,0.0225,0
717701733,0,0.0025,0
709913733,0,0.0,0
718768158,0,0.1475,0
721375308,0,0.0075,0
711374283,0,0.0,0
822893133,0,0.05,0
778465533,0,0.1825,0
712138983,0,0.01,0
716920908,0,0.005,0
708095133,0,0.04,0
711195558,0,0.01,0
772735758,0,0.0175,0
712024908,0,0.0025,0
778239933,0,0.01,0
714893733,0,0.0075,0
754886958,0,0.005,0
710104908,0,0.0425,0
710558883,0,0.01,0
713827383,0,0.03,0
720267033,0,0.0175,0
712049208,0,0.02,0
708688608,0,0.0,0
716223708,1,0.7525,1
713217858,0,0.195,0
819352983,0,0.0075,0
711019308,0,0.0,0
768600558,0,0.01,0
710202783,0,0.0575,0
712899333,0,0.075,0
767036433,0,0.0225,0
793473033,0,0.025,0
721232058,0,0.0075,0
719443683,1,0.705,1
715449333,0,0.025,0
717998058,0,0.0175,0
779610033,1,0.78,1
827332983,0,0.02,0
721183983,0,0.0325,0
718426533,0,0.0575,0
710698233,0,0.005,0
780253533,0,0.0,0
793581933,0,0.025,0
719229708,0,0.0425,0
715158483,0,0.0175,0
809296308,0,0.0175,0
778176108,0,0.005,0
796532958,0,0.0025,0
709345008,1,0.94,1
717049533,0,0.0225,0
719366358,0,0.0075,0
721417233,1,0.9275,1
711622683,0,0.0275,0
714578283,0,0.0625,0
769574883,0,0.1025,0
717643608,0,0.0675,0
709198158,0,0.07,0
712419708,0,0.02,0
709103358,0,0.085,0
716966808,0,0.0225,0
772264383,0,0.065,0
721057758,0,0.07,0
769137108,1,0.9325,1
717640083,1,0.955,1
716445783,0,0.0275,0
708579633,0,0.03,0
718715583,0,0.02,0
778686408,0,0.0075,0
715015683,0,0.015,0
805254708,0,0.005,0
710462433,0,0.01,0
721342383,0,0.0225,0
720179883,0,0.155,0
794977533,1,0.8725,1
779445108,0,0.0125,0
718193958,0,0.0125,0
710955633,0,0.0075,0
716149383,0,0.0225,0
752604633,1,0.965,1
713889933,0,0.1675,0
709446783,0,0.0275,0
789115833,0,0.0125,0
711242058,1,0.88,1
787623858,0,0.0375,0
709040508,0,0.02,0
708864708,0,0.0375,0
717758583,0,0.005,0
715416633,0,0.0225,0
717956283,0,0.01,0
721379433,0,0.1925,0
712027683,0,0.0225,0
716027208,0,0.03,0
720475233,0,0.01,0
712275108,0,0.0275,0
718121658,1,0.92,1
711593808,1,0.8775,1
716222808,0,0.0,0
718731183,1,0.86,1
788779008,0,0.0025,0
710404533,0,0.075,0
711173058,0,0.0025,0
715383108,0,0.035,0
711697158,0,0.0175,0
709186983,0,0.01,0
808964433,0,0.0075,0
711948333,0,0.0275,0
710541858,0,0.0075,0
713865333,1,0.835,1
797707008,1,0.8625,1
713490483,0,0.1125,0
720370533,1,0.9375,1
779743908,0,0.2375,0
718675158,1,0.795,1
710784333,0,0.015,0
816596583,0,0.07,0
717517758,0,0.03,0
712880283,0,0.0075,0
753226158,0,0.0,0
720605808,1,0.97,1
758317233,0,0.025,0
711028308,0,0.1175,0
814852533,0,0.0075,0
711526533,0,0.005,0
804403908,0,0.0875,0
716999883,0,0.015,0
716452083,0,0.04,0
787599258,0,0.02,0
714495258,0,0.1225,0
717713283,0,0.0375,0
789317883,0,0.005,0
714500883,0,0.1225,0
789467508,0,0.0125,0
710317758,0,0.0075,0
711231558,0,0.0125,0
716829483,0,0.0175,0
779713608,0,0.0,0
711628458,0,0.02,0
718943508,0,0.055,0
770724558,1,0.8325,1
783561558,0,0.0875,0
719309958,1,0.7275,1
788785083,0,0.0,0
780481308,0,0.065,0
711757383,0,0.24,0
787550808,0,0.0025,0
779863533,0,0.0375,0
714529233,0,0.025,0
708177333,0,0.0075,0
812019933,0,0.02,0
708557358,0,0.02,0
713580633,0,0.085,0
711466533,0,0.0675,0
802276683,0,0.005,0
780913308,0,0.02,0
808897683,1,0.7425,1
719428308,0,0.0025,0
713010483,0,0.0175,0
717006333,0,0.045,0
787621158,0,0.0875,0
716924058,0,0.04,0
720916683,0,0.015,0
720923658,0,0.0325,0
712710708,0,0.065,0
718939083,1,0.8475,1
779519058,0,0.0325,0
719085933,0,0.005,0
715124958,0,0.0125,0
712979133,1,0.83,1
712006308,0,0.0125,0
710801133,0,0.015,0
712490283,0,0.05,0
720071583,1,0.76,1
717958833,0,0.025,0
812420358,1,0.875,1
712370208,0,0.0375,0
715940358,0,0.01,0
715041333,0,0.055,0
712797258,0,0.0075,0
769170558,0,0.12,0
715884858,0,0.05,0
796343058,0,0.1375,0
783910008,0,0.0225,0
718888308,0,0.025,0
785114808,0,0.0575,0
709852908,0,0.21,0
823528833,0,0.0075,0
719679858,0,0.045,0
827108583,0,0.0725,0
787833333,0,0.005,0
719781183,0,0.015,0
710429358,0,0.0125,0
798792408,1,0.9475,1
710280558,0,0.0525,0
809825358,0,0.0,0
714451833,0,0.185,0
713943783,0,0.04,0
710706558,0,0.0425,0
713620308,0,0.04,0
813453408,0,0.015,0
818248383,0,0.095,0
780106908,0,0.005,0
708938508,0,0.0,0
709671708,0,0.0075,0
711204483,1,0.7925,1
801728658,0,0.0475,0
713945883,1,0.87,1
779558733,0,0.0,0
788370258,0,0.0475,0
714927333,0,0.015,0
710383158,0,0.115,0
798007308,0,0.0775,0
711768858,0,0.025,0
714888633,0,0.0075,0
712650333,0,0.0375,0
719945433,0,0.1,0
720310458,0,0.0125,0
718344033,0,0.0075,0
715442958,0,0.02,0
780326883,0,0.025,0
711157833,0,0.0225,0
719704308,0,0.015,0
708772308,0,0.0125,0
817663908,0,0.005,0
780054258,0,0.08,0
709990983,0,0.03,0
818045958,0,0.02,0
716380683,0,0.005,0
787480158,0,0.0,0
778461408,0,0.0075,0
713861733,0,0.01,0
789291633,0,0.01,0
789513858,1,0.95,1
778357458,0,0.0575,0
718325883,0,0.0,0
720344658,0,0.0025,0
809292483,0,0.005,0
779791008,0,0.0075,0
779557533,0,0.035,0
795904233,0,0.0275,0
710573808,0,0.04,0
717418158,0,0.0,0
771963708,1,0.86,1
712433508,1,0.9375,1
779320983,0,0.0025,0
718093233,0,0.175,0
719459358,0,0.0075,0
717728808,0,0.0175,0
788701608,0,0.0125,0
778506633,1,0.84,1
719989008,0,0.0175,0
791839233,0,0.0325,0
716918508,0,0.0225,0
717321783,0,0.03,0
799000008,0,0.0175,0
721517208,0,0.025,0
719068683,0,0.03,0
709120008,0,0.06,0
709117533,0,0.0025,0
816594183,0,0.0125,0
789485433,0,0.04,0
712881483,0,0.0125,0
712689333,0,0.03,0
771492408,0,0.005,0
711668283,0,0.0925,0
772684833,0,0.005,0
712960308,0,0.0025,0
713530833,1,0.9275,1
756065433,0,0.01,0
710997183,0,0.07,0
711146358,0,0.01,0
716144058,0,0.06,0
778699908,1,0.8275,1
713571258,0,0.0125,0
711676908,0,0.02,0
719315508,0,0.0,0
778623858,0,0.0025,0
714665733,0,0.015,0
816089433,0,0.0025,0
716991933,1,0.8025,1
714534108,0,0.0175,0
787456608,0,0.0125,0
717090183,0,0.0225,0
772782708,0,0.0,0
710722908,0,0.0125,0
795155433,0,0.0,0
715271733,0,0.0775,0
771706308,0,0.0475,0
713989233,0,0.0025,0
780198258,0,0.015,0
802002858,1,0.8275,1
716290233,0,0.085,0
828298908,0,0.0125,0
788946783,0,0.0775,0
720697908,0,0.0025,0
780598383,0,0.01,0
715345833,0,0.1125,0
710831133,0,0.005,0
766706358,0,0.015,0
816533733,0,0.1325,0
712373208,1,0.96,1
721433283,0,0.0225,0
720680058,0,0.0175,0
716909283,0,0.02,0
754654383,0,0.01,0
719226333,0,0.0075,0
779759058,0,0.005,0
718206783,0,0.01,0
715783758,0,0.025,0
771190083,0,0.0175,0
713135883,0,0.04,0
778799583,0,0.0175,0
808796208,0,0.0675,0
708313608,0,0.0525,0
779330208,0,0.0325,0
794498733,0,0.0625,0
807964908,0,0.0375,0
823845783,0,0.02,0
711748983,0,0.015,0
718064283,0,0.0275,0
710492733,0,0.0175,0
779016408,0,0.01,0
717787533,0,0.0125,0
714851058,0,0.025,0
823535133,0,0.005,0
708455883,1,0.8175,1
780095808,0,0.04,0
709207458,0,0.03,0
763895958,1,0.815,1
715942683,0,0.0225,0
721301733,0,0.03,0
711927108,1,0.93,1
718083483,0,0.035,0
717548358,0,0.06,0
816829608,0,0.1475,0
713936583,0,0.025,0
709682658,0,0.0175,0
793889508,0,0.085,0
714648933,0,0.0075,0
711556533,0,0.145,0
717420333,0,0.05,0
768921933,0,0.025,0
714311583,0,0.0575,0
717707133,0,0.015,0
716043258,0,0.0325,0
716343408,0,0.04,0
718909158,0,0.0175,0
719471433,0,0.0,0
712763808,0,0.175,0
711147483,1,0.735,1
719788833,0,0.0575,0
715168983,0,0.235,0
714306258,0,0.0375,0
713828208,0,0.135,0
710574558,0,0.0125,0
710947683,0,0.0125,0
711113958,0,0.03,0
718923858,0,0.06,0
752666508,0,0.0325,0
712672083,0,0.125,0
719863758,0,0.0675,0
720990183,1,0.815,1
720718908,0,0.0075,0
721250358,0,0.02,0
779773533,0,0.0175,0
708249708,0,0.0275,0
713967783,0,0.0025,0
779506158,0,0.0125,0
759823158,0,0.0525,0
716608608,1,0.635,1
789528183,0,0.0375,0
708895158,0,0.055,0
824805858,0,0.02,0
720840108,0,0.01,0
787595658,0,0.0375,0
720244983,0,0.02,0
713220258,0,0.0025,0
813469458,0,0.0925,0
788939358,0,0.0,0
718870158,0,0.0275,0
788673708,1,0.8375,1
711809283,0,0.0475,0
816513108,0,0.0075,0
718594608,0,0.07,0
823606983,0,0.045,0
717028158,0,0.0125,0
788485908,0,0.1475,0
714472608,0,0.025,0
710793783,0,0.0175,0
794340033,0,0.0025,0
716462658,0,0.155,0
718050033,0,0.0375,0
714023808,0,0.0475,0
716341833,0,0.0075,0
719648358,0,0.0575,0
816600933,1,0.885,1
714208533,1,0.9675,1
713095533,0,0.01,0
809967783,0,0.06,0
715848408,0,0.1075,0
714414483,0,0.0075,0
708655983,0,0.2975,0
720426708,1,0.88,1
713743158,0,0.0025,0
721279083,0,0.0325,0
779149683,0,0.0125,0
714970458,0,0.005,0
719070108,0,0.0075,0
715490733,0,0.035,0
714989583,0,0.1,0
820355433,0,0.11,0
715901508,0,0.0,0
710370483,0,0.0125,0
778573233,0,0.0275,0
708833133,0,0.0425,0
719885883,0,0.0025,0
712523283,0,0.1425,0
711309033,0,0.02,0
708134283,0,0.08,0
720147633,0,0.0075,0
708983658,1,0.8575,1
766285608,0,0.015,0
779715108,0,0.015,0
798035358,0,0.09,0
719391783,0,0.005,0
809342208,0,0.1375,0
780713058,0,0.0,0
779338683,0,0.0125,0
783387783,0,0.0625,0
787800108,0,0.0175,0
721397808,0,0.0,0
778698408,0,0.015,0
709545333,0,0.015,0
716032233,0,0.0,0
717835908,0,0.025,0
719466558,0,0.265,0
778663458,1,0.8675,1
716024808,1,0.815,1
713008308,0,0.0275,0
794831733,0,0.0125,0
713854608,0,0.055,0
715993608,0,0.0575,0
789368658,0,0.0075,0
802817358,0,0.0775,0
708098133,0,0.005,0
801499908,0,0.03,0
824770683,0,0.0,0
718310733,0,0.1375,0
708162558,0,0.005,0
721129383,0,0.1325,0
721249158,1,0.975,1
721049658,0,0.07,0
806392908,0,0.095,0
714886533,0,0.01,0
772375533,0,0.0075,0
826775058,0,0.04,0
711878733,0,0.0225,0
714550383,0,0.0775,0
712636308,0,0.0,0
772139433,0,0.01,0
709058808,0,0.0125,0
813240408,0,0.01,0
767753958,0,0.02,0
710111733,0,0.005,0
761544333,0,0.015,0
788814783,0,0.005,0
715034358,0,0.035,0
709624533,0,0.0175,0
709942383,0,0.015,0
803957508,0,0.05,0
713378133,0,0.02,0
709217358,0,0.0075,0
720998358,0,0.0475,0
721051908,0,0.2325,0
715232058,0,0.0,0
806250783,0,0.075,0
817245183,0,0.015,0
713670333,0,0.0175,0
826477083,0,0.02,0
788728608,0,0.0025,0
717190533,0,0.015,0
716580033,0,0.0,0
711644508,0,0.02,0
714334383,0,0.0375,0
720611058,0,0.115,0
712420833,0,0.045,0
713845083,1,0.7225,1
713756508,0,0.01,0
735565158,0,0.005,0
714131058,0,0.0525,0
717180633,0,0.0125,0
717295683,0,0.0075,0
713128833,0,0.045,0
813499458,1,0.82,1
710070183,0,0.085,0
789605658,0,0.0325,0
710045058,0,0.0275,0
710164683,0,0.0425,0
710802258,0,0.0375,0
721036233,0,0.0025,0
710036508,0,0.0575,0
717776808,0,0.1175,0
714906033,0,0.065,0
714273708,0,0.0475,0
721117533,0,0.11,0
715374558,0,0.055,0
824807658,0,0.0275,0
714940608,0,0.015,0
824782008,0,0.1125,0
717561108,0,0.08,0
717127083,0,0.0325,0
772460508,0,0.015,0
720484908,0,0.0275,0
771237933,0,0.02,0
794664183,0,0.02,0
797488158,0,0.0075,0
708543258,0,0.0125,0
778706508,0,0.115,0
712240083,1,0.825,1
713650683,0,0.015,0
772532208,1,0.845,1
778929783,1,0.8925,1
714244383,0,0.0,0
718797558,0,0.1025,0
712821333,0,0.035,0
721120008,0,0.01,0
709633533,0,0.045,0
710789058,0,0.05,0
716174433,0,0.0275,0
789886533,0,0.075,0
715210308,0,0.045,0
721038408,0,0.09,0
713325108,0,0.0375,0
720352533,0,0.07,0
708431433,0,0.0225,0
716996583,0,0.0025,0
718699683,0,0.0625,0
771359958,0,0.0175,0
716604633,0,0.01,0
813952233,0,0.0525,0
713053383,1,0.86,1
709979583,0,0.07,0
709380333,0,0.005,0
778574283,0,0.1075,0
789875883,0,0.085,0
714661233,0,0.025,0
813915933,0,0.0325,0
708358683,0,0.0375,0
824761458,0,0.01,0
715362183,0,0.05,0
721194858,0,0.0325,0
803595858,1,0.83,1
716198358,0,0.0275,0
714173808,0,0.025,0
709465758,0,0.235,0
714081558,0,0.0,0
717364458,0,0.0025,0
778755858,0,0.03,0
710754933,1,0.8325,1
720007383,1,0.83,1
810220833,0,0.03,0
718362783,1,0.9575,1
708267858,0,0.01,0
708856983,1,0.895,1
715588908,0,0.03,0
772674933,0,0.0875,0
720148983,0,0.0025,0
720650208,0,0.0025,0
769732233,0,0.08,0
713030958,0,0.2225,0
711320508,0,0.0125,0
795795408,0,0.005,0
717904383,0,0.0125,0
714115533,0,0.005,0
712475733,0,0.02,0
718996758,0,0.0025,0
713049933,0,0.215,0
709961958,1,0.725,1
718301508,0,0.0125,0
714831033,0,0.0125,0
710653158,0,0.005,0
721265883,0,0.06,0
715049583,0,0.0075,0
715394883,0,0.08,0
773448558,0,0.0225,0
717249783,0,0.04,0
708344358,0,0.0125,0
712003083,0,0.0125,0
754282908,0,0.025,0
717412608,1,0.9275,1
719412258,0,0.015,0
788675658,0,0.0625,0
717683583,0,0.0,0
820584408,0,0.01,0
719392833,0,0.0275,0
718595583,0,0.0225,0
778508883,0,0.015,0
715511658,0,0.1325,0
711999783,0,0.03,0
753856008,0,0.0025,0
789920883,0,0.0675,0
788677533,0,0.0075,0
716284308,0,0.015,0
712120608,1,0.735,1
715482483,0,0.0125,0
720848733,0,0.035,0
708480333,0,0.0175,0
826723308,0,0.04,0
801369258,0,0.0,0
709584483,0,0.0675,0
715708308,0,0.005,0
779707308,0,0.005,0
711688158,0,0.01,0
711848658,0,0.0025,0
715855083,0,0.095,0
778971408,0,0.01,0
711648708,0,0.0,0
713149683,0,0.0175,0
771903033,0,0.0125,0
737925558,0,0.015,0
803347908,0,0.0125,0
817285758,0,0.13,0
711480108,0,0.035,0
709662708,0,0.03,0
709224858,0,0.005,0
821771508,0,0.0,0
712216533,0,0.025,0
710522433,0,0.0625,0
779046408,0,0.0075,0
708595158,0,0.11,0
757266933,0,0.1,0
816776283,0,0.005,0
